4. Amend | Word Form: amends; amending; amended; amend6*ment*  | Collocations: amend 16*a plan*; amend 16*a law*; amend 16*legislation*; amend 16*the constitution* | Examples:✦ The president agreed to *amend* the constitution.; Parliament may *amend* the proposed tax bill.; We reserve the right to *amend* the terms and conditions. | Synonyms: alter; enhance; change; modify; correct 

5. Deviate | Word Form: de6*via*te; deviates; deviating; deviated; deviat6*ion* | Collocations: deviate 16*from*; deviate 16*significantly*; deviate 16*markedly*; deviate 16*slightly* | Examples:✦ They stopped you as soon as you *deviated from* the script.; Sub-Saharan Africa has wage levels that *deviate significantly* from international norms.; Galileo’s ideas *deviated markedly* from those of his time. | Synonyms: veer; vary; differ; diverge; depart

6. Distort | Word Form: distorts; distorting; distorted; distort6*ion*  | Collocations: distort 16*the truth*; distort 16*reality*; distort 16*competition*; distort 16*something by* | Examples:✦ The media *distorts reality* by showing people as all good or all bad.; There are allegations that the government *distorted scientific findings* to justify its policies. | Synonyms: misrepresent; twist; warp; pervert; alter

7. Divert | Word Form: diverts; diverting; diverted; diver6*sion* | Collocations: divert 16*something from*; divert 16*something to*; divert 16*attention*; divert 16*resources* | Examples:✦ The project *diverted* water to the drought-prone areas.; During the strike, we will *divert* ambulances to private hospitals. | Synonyms: redirect; switch; pivot; deflect | Notes:✦ *pivot* ➜ to change direction; to change the way in which something is done; *pivot (to/towards something) (away from something)* ➜ The company is pivoting towards mobile and away from social media.; *pivot towards doing something* ➜ We are pivoting towards delivering all of our software as a service. 

CHANGES 2 | 7 words about "*Changes*": manipulate; refine; transition; enlarge; deteriorate; diminish; eradicate | 9*1. Manipulate*:✦ | 9*2. refine*:✦ | 9*3. transition*:✦ |  9*4. enlarge*:✦ | 9*5. deteriorate*:✦ | 9*6. diminish*:✦ | 9*7. eradicate*:✦

CHEMISTRY | 7 words about "*Chemistry*": agent; atom; molecule; compound; soluble; insoluble; crystal | 9*1. agent*:✦ | 9*2. atom*:✦ | 9*3. molecule*:✦ |  9*4. compound*:✦ | 9*5. soluble*:✦ | 9*6. insoluble*:✦ | 9*7. crystal*:✦

ENGINEERING | 7 words about "*Engineering*": analogue; automate; hydraulic; hydroelectric; laser; prototype; optical | 9*1. analogue*:✦ | 9*2. automate*:✦ | 9*3. hydraulic*:✦ |  9*4. hydroelectric*:✦ | 9*5. laser*:✦ | 9*6. prototype*:✦ | 9*7. optical*:✦

ENVIRONMENT | 7 words about "*Environment*": biodiversity; ecosystem; fossil fuel; landfill; refuse; unspoiled; green belt | 9*1. biodiversity*:✦ | 9*2. ecosystem*:✦ | 9*3. fossil fuel*:✦ |  9*4. landfill*:✦ | 9*5. refuse*:✦ | 9*6. unspoiled*:✦ | 9*7. green belt*:✦

FAMILY | 7 words about "*Family*": infant; adolescent; maternal; paternal; sibling; marital status; upbringing | 9*1. infant*:✦ | 9*2. adolescent*:✦ | 9*3. maternal*:✦ |  9*4. paternal*:✦ | 9*5. sibling*:✦ | 9*6. marital status*:✦ | 9*7. upbringing*:✦

GEOGRAPHY | 7 words about "*Geography*": hemisphere; equator; longitude; latitude; tide; crater; summit | 9*1. Hemisphere*:✦ | 9*2. Equator*:✦ | 9*3. Longitude*:✦ |  9*4. Latitude*:✦ | 9*5. Tide*:✦ | 9*6. Crater*:✦ | 9*7. Summit*:✦

GEOGRAPHY 2 | 7 words about "*Geography*": temperate; arid; marine; glacier; terrestrial; fauna; flora | 9*1. Temperate*:✦ | 9*2. Arid*:✦ | 9*3. Marine*:✦ |  9*4. Glacier*:✦ | 9*5. Terrestrial*:✦ | 9*6. Fauna*:✦ | 9*7. Flora*:✦

GOVERNMENT | 7 words about "*Government*": autonomy; constitution; coup; dictator; monarch; legislature; regime | 9*1. Autonomy*:✦ | 9*2. Constitution*:✦ | 9*3. Coup*:✦ |  9*4. Dictator*:✦ | 9*5. Monarch*:✦ | 9*6. Legislature*:✦ | 9*7. Regime*:✦

HEALTH | 7 words about "*Health*": therapy; transplant; immune; vaccine; antibiotic; dose; remedy | 9*1. Therapy*:✦ | 9*2. Transplant*:✦ | 9*3. Immune*:✦ |  9*4. Vaccine*:✦ | 9*5. Antibiotic*:✦ | 9*6. Dose*:✦ | 9*7. Remedy*:✦

HEALTHCARE | 7 words about "*Healthcare*": immunize; pathology; pharmaceutical; physiotherapy; practitioner; psychiatry; anaesthetic | 9*1. Immunize*:✦ | 9*2. Pathology*:✦ | 9*3. Pharmaceutical*:✦ |  9*4. Physiotherapy*:✦ | 9*5. Practitioner*:✦ | 9*6. Psychiatry*:✦ | 9*7. Anaesthetic*:✦

ILLNESS | 7 words about "*Illness*": acute; chronic; addict; allergy; syndrome; epidemic; trauma | 9*1. Acute*:✦ | 9*2. Chronic*:✦ | 9*3. Addict*:✦ |  9*4. Allergy*:✦ | 9*5. Syndrome*:✦ | 9*6. Epidemic*:✦ | 9*7. Trauma*:✦

LAW | 7 words about "*Law*": advocate; abide by; enforce; invoke; jurisdiction; litigate; prosecute | 9*1. Advocate*:✦ | 9*2. Abide by*:✦ | 9*3. Enforce*:✦ |  9*4. Invoke*:✦ | 9*5. Jurisdiction*:✦ | 9*6. Litigate*:✦ | 9*7. Prosecute*:✦

LAW 2 | 7 words about "*Law*": clause; comply; exempt; ratify; sanction; uphold; violate | 9*1. Clause*:✦ | 9*2. Comply*:✦ | 9*3. Exempt*:✦ |  9*4. Ratify*:✦ | 9*5. Sanction*:✦ | 9*6. Uphold*:✦ | 9*7. Violate*:✦

POLITICAL BELIEFS | 7 words about "*Political beliefs*": advocate; dogma; propaganda; ideology; liberal; libertarian; pluralism | 9*1. Advocate*:✦ | 9*2. Dogma*:✦ | 9*3. Propaganda*:✦ |  9*4. Ideology*:✦ | 9*5. Liberal*:✦ | 9*6. Libertarian*:✦ | 9*7. Pluralism*:✦

SOCIAL ISSUES | 7 words about "*Social issues*": civil rights; secular; ethics; feminism; humanitarian; refugee; catastrophe | 9*1. Civil rights*:✦ | 9*2. Secular*:✦ | 9*3. Ethics*:✦ |  9*4. Feminism*:✦ | 9*5. Humanitarian*:✦ | 9*6. Refugee*:✦ | 9*7. Catastrophe*:✦

TEXTS | 7 words about "*Texts*": abstract; bibliography; commentary; footnote; paper; periodical; precis | 9*1. Abstract*:✦ | 9*2. Bibliography*:✦ | 9*3. Commentary*:✦ |  9*4. Footnote*:✦ | 9*5. Paper*:✦ | 9*6. Periodical*:✦ | 9*7. Precis*:✦

BIOLOGY | 7 words about "*Biology*": decay; dormant; exhale; inhale; fertilize; reproduce; suppress | 9*1. Decay*:✦ | 9*2. Dormant*:✦ | 9*3. Exhale*:✦ |  9*4. Inhale*:✦ | 9*5. Fertilize*:✦ | 9*6. Reproduce*:✦ | 9*7. Suppress*:✦

BUSINESS | 7 words about "*Business*": audit; compensate; reimburse; revenue; turnover; creditor; debtor | 9*1. Audit*:✦ | 9*2. Compensate*:✦ | 9*3. Reimburse*:✦ |  9*4. Revenue*:✦ | 9*5. Turnover*:✦ | 9*6. Creditor*:✦ | 9*7. Debtor*:✦

BUSINESS 2 | 7 words about "*Business*": enterprise; entrepreneur; found; franchise; merge; restructure; subsidiary | 9*1. Enterprise*:✦ | 9*2. Entrepreneur*:✦ | 9*3. Found*:✦ |  9*4. Franchise*:✦ | 9*5. Merge*:✦ | 9*6. Restructure*:✦ | 9*7. Subsidiary*:✦

COMPARE & CONTRAST | 7 words about "*Compare & Contrast*": complement; converse; differentiate; diverse; mirror; resemble; synonymous | 9*1. Complement*:✦ | 9*2. Converse*:✦ | 9*3. Differentiate*:✦ |  9*4. Diverse*:✦ | 9*5. Mirror*:✦ | 9*6. Resemble*:✦ | 9*7. Synonymous*:✦

HISTORY | 7 words about "*History*": archive; artefact; excavate; heritage; primitive; millennium; renaissance | 9*1. Archive*:✦ | 9*2. Artefact*:✦ | 9*3. Excavate*:✦ |  9*4. Heritage*:✦ | 9*5. Primitive*:✦ | 9*6. Millennium*:✦ | 9*7. Renaissance*:✦

