Viable | Meaning: able to work or succeed | Synonyms: feasible; workable; possible | Collocation: *viable* option / alternative / solution | Example: The project is not *a viable option* without more funding.; *A viable solution* is to heavily punish lawbreakers. 4*If* sports clubs and establishments raise the fine for using banned substances, many athletes will think twice before making attempt to cheat. 13*Another way to deal with this issue* is to upgrade testing amenities. 4*This will eradicate* any holes existing in the system and ensure that the test result is highly accurate. 4*For instance,* after the UFC had made major investments to provide their staff with the latest testing equipment, many fighters in their organization got caught. | Essay Question: In many professional sports, 8*there is an increase in the number of athletes using banned substances* to improve their performance. 10*What are the causes of the phenomenon* and 11*what are some of the possible solutions?* | 3*Band 8 Version*: One effective way to combat doping in professional sports is to impose far stricter penalties on offenders. If sporting organizations introduced heavier financial sanctions and lengthy suspensions for athletes who use prohibited substances, many competitors would be far less likely to risk damaging their careers and reputations. In addition, anti-doping authorities should invest in more advanced testing technology and screening procedures. Doing so would help eliminate loopholes within the current system and significantly improve the accuracy of test results. For example, after the UFC invested heavily in state-of-the-art detection equipment, a considerable number of fighters were found to have violated anti-doping regulations. | 3*Band 9 Version*: A highly effective measure to deter the use of performance-enhancing substances is the enforcement of severe disciplinary and financial penalties against offenders. Were sporting authorities to impose lengthy bans, revoke titles, and levy substantial fines on athletes found guilty of doping, many competitors would likely reconsider engaging in such unethical practices due to the potentially irreversible damage to both their careers and public reputations. Equally important is the need to strengthen anti-doping infrastructure through investment in cutting-edge detection technology and more rigorous testing protocols. By closing existing regulatory loopholes and enhancing the reliability of screening procedures, sports organizations would be better equipped to identify violations accurately and consistently. This can already be seen in the UFC, where significant investment in advanced testing systems resulted in numerous fighters testing positive for banned substances.


Output | Meaning: the amount produced | Synonyms: production; yield | Collocation: industrial *output*; total *output* | Example: The factory's *output* has increased this year.; In some corporations, it is 13*mandatory for employees to wear a uniform*. 4*The main benefits of* wearing a uniform are that 8*it brings uniformity* to the workplace and helps to increase the *output* of companies4*. However,* the 8*increase in the expenditure* of organizations and 8*monotony* among employees 4*are the main drawbacks of* compulsory uniforms. | Essay Question: Some companies have uniforms for their staff which must be worn at all times. 10*Discuss the advantages and disadvantages of this.* 

Intellect | Meaning: the ability to think and understand | Synonyms: intelligence | Collocation: his / her *intellect*; child's *intellect* | Example: Her *sharp intellect* makes her a great scientist.; Television is considered useful for education 4*by some,* 3*while others claim that* it only serves entertainment purposes. 4*While* certain people believe television is only for entertainment as it steals time, 4*this essay claims that* it is valuable as educational programs on television can help *a child’s intellect*. | Essay Question: Some people say that 8*television is useful for education,* while others say it is 8*useful only for entertainment*. 10*Discuss both views and give your own opinion.*

Incentives | Meaning: things that encourage you to do something | Synonyms: motivation; rewards; encouragement | Collocation: provide / offer *incentives* | Example: The company offers *financial incentives* to its best workers.; 4*One suitable solution for this is* to run 8*a public awareness campaign* to emphasize to younger people 8*the significance of voting*. Once they realize that if they abandon their right to vote, the consequences will be immense, they will change their minds and begin to vote. 4*Another way to overcome this is* 8*to provide them with certain incentives* to start voting. Many younger people find voting a waste of time 16*and, therefore,* if they are given *incentives*, they are more likely to take the time to vote. 4*For instance,* younger people in my country are often given a small amount of money as a way of motivating them to vote. | Essay Question: In some countries, 8*younger people are neglecting their right to vote*. 10*What problems does this cause and what are some of the possible solutions?*
 
Irrespective | Meaning: without considering something | Synonyms: regardless; despite | Collocation: *irrespective* of | Example: *Irrespective of the outcome,* we must try our best.; 4*In conclusion,* 16*although* adolescents tend to be happier because they enjoy support from their families, 16*I believe that* adult life brings more joy 16*because of* life fulfillment *irrespective of more responsibilities*. | Essay Question: Some people think that 13*the teenage years are the happiest time of most people’s lives*. Others think that 8*adult life brings more happiness,* in spite of greater responsibility. 10*Discuss both views and give your own opinion.* 

Fundamental | Meaning: important | Synonyms: important; essential; primary | Collocation: *fundamental* principle; *fundamental*  change | Example: Learning to read is *a fundamental skill* for children.; It is *the fundamental right* of every human being to have their privacy. 16*Even though* they are public figures, their private lives should be away from the eyes of the media. They should only be judged against the service towards their countries and not for what is happening in their day-to-day affairs. 4*The prime example of this can be seen in* the Constitution of the USA, which gives its citizens the right to privacy. | Essay Question: Details of politicians’ private lives should not be published in newspapers. 10*To what extent do you agree or disagree?* 

Disclose | Meaning: to make something know | Synonyms: reveal; show; tell | Collocation: *disclose* information | Example: The company must *disclose* any risks to its investors.; 4*On the other hand,* publishing details of private affairs *disclose the corruption of* politicians and make them accountable. Many politicians usually hold a public office and are entrusted with managing public funds. 16*If* they do not spend the money on the wellbeing of people and are involved in corruption, newspapers expose their private life and put them under accountability. 4*For example,* when details of the lavish spending of the Mayor of London, while on a vacation, were revealed in the SUN, it prompted questions from many sections of the society, eventually exposing his corruption with the public money. 4*Therefore, it is important that* newspapers publish these details. | Essay Question: Details of politicians’ private lives should not be published in newspapers. 10*To what extent do you agree or disagree?* 

Detrimental | Meaning: causing harm or damage | Synonyms: harmful; damaging; bad | Collocation: *detrimental* effect (on health / environment) | Example: Smoking has *a detrimental effect* on health. 

Adolescents | Meaning: young people between 13-19 years old. | Synonyms: teenagers | Example: *Adolescents* often experience many changes in their lives.; 4*It is argued that* *adolescence years* are the happiest years in one’s life4*, while others believe that* adulthood is the most joyful phase to live despite having bigger responsibilities. 4*This essay believes that,* 16*although* adolescents are 8*free of responsibilities,* adults enjoy their life more 16*because* 8*they are free to make their own choices.* | Essay Question: Some people think that 13*the teenage years are the happiest time of most people’s lives*. Others think that 8*adult life brings more happiness,* in spite of greater responsibility. 10*Discuss both views and give your own opinion.* 

Accountable | Meaning: responsible for actions | Synonyms: responsible; answerable; liable | Collocation: *accountable* for; *accountable* to | Example: Managers should be held *accountable* for their decisions.; 4*It is argued that* newspapers ought not to publish the details of private lives of politicians. 4*This essay strongly disagrees with this view* 16*because* politicians build a public image through such news 16*and* they should be held accountable for any wrongdoings. | Essay Question: Details of politicians’ private lives should not be published in newspapers. 10*To what extent do you agree or disagree?*

Addressed | Meaning: to deal with a problem or issue | Synonyms: tackled; deal with; handled; fixed | Collocation: *address* the issue / problem | Example: The teacher *addressed* the issue of bullying in the classroom.; 4*In conclusion,* insecurity among some section of the population is still prevailing due to the change in the nature of crimes that are being committed nowadays. 4*However,* this can easily be *addressed* by 8*making people aware* and also by 8*making new laws.* | Essay Question: In some countries, 16*even though* 8*the rates of serious crimes are decreasing,* 15*people feel less safe than ever before.* 10*What do you think are the causes of this problem and what measures could be taken to solve it?*

Affluent | Meaning: having a lot of money | Synonyms: wealthy; rich; prosperous | Collocation: affluent society / country | Example: The *affluent society* had many beautiful homes and parks.; 4*On the one hand,* what 6*makes* that prioritizing economic expansion is 6*beneficial* for the public is the fact that 8*fever residents remain unemployed*. 4*This is because* governments boost establishing various businesses, which will require many workers to operate. 4*In addition,* 6*not only* does a country become more powerful economically, 6*but also* many residents have an opportunity *to become affluent*. When companies generate more profit, it reflects how much money employees can make. In Poland, 4*for example,* 30 years after communism collapsed, average salaries offered for a middle-management position have tripled. | Essay Question: In many countries, 8*the government prioritizes economic growth above all other concerns*. 10*Discuss the advantages and disadvantages of this.*

allocate | Meaning: to distribute resources or duties | Synonyms: assign; distribute; allot | Collocation: allocate *resources* | Example: The manager will *allocate resources* for the new project.; By allocating a certain per cent of high-level positions to women, companies 8*would reach a higher competence level*. 4*This is because* a lot of women with the right competence are overlooked4*, since* 8*the tradition of male executives* are very strong. Allocated recruitment would result in women with high competence rather than mediocre men in those high-level positions. 4*For example,* an audit of the relative competence level in one of the biggest investment banks in Sweden 6*showed a significant increase* after they *decided to allocate* at least 40 per cent of their leading positions to women. | Essay Question: 7*Most high-level positions* in companies are 7*filled by men* even though the workforce in many developed countries is more than 50 per cent female. 8*Companies should be required to allocate a certain percentage of these positions to women.* 10*To what extent do you agree?* 

Awareness | Meaning: knowledge about something | Synonyms: knowledge; understanding | Collocation: *raise* awareness; awareness *campaigns* | Example: We need to *raise awareness* about the dangers of smoking.; 4*In conclusion,* neglecting to vote by the young generation would delay the necessary government change8*, and* laws made that are not in their favor. 4*However,* 8*encouraging youth participation* in politics and *awareness campaigns* can be possible solutions to tackle these problems. | Essay Question: In some countries, 8*younger people are neglecting their right to vote*. 10*What problems does this cause and what are some of the possible solutions?*

Bullying | Meaning: repeated, aggressive behavior intended to hurt someone | Synonyms: harassment; intimidation; abuse | Collocation: *school* bullying; *cyber* bullying | Example: *School bullying* can seriously affect a child's self-esteem.; 4*Although* grievous offenses are reducing, some people feel more insecure than they used to. 4*The main reason behind this* is the increase of *cyber bullying* and 8*hate-crimes*4*, and the solution would be* 7*to raise the general awareness* among the masses and 7*by promulgating new laws*. | Essay Question: In some countries, 16*even though* 8*the rates of serious crimes are decreasing,* 15*people feel less safe than ever before.* 10*What do you think are the causes of this problem* and 11*what measures could be taken to solve it?* 

Burden | Meaning: a heavy load or responsibility | Synonyms: load; responsibility | Collocation: *heavy* burden; *financial* burden | Example: The *financial burden* of college can be overwhelming for some students.; Many adolescents buy used clothes 4*because* they want to be like famous people. 4*That is to say that* they need different outfits for any occasion and that is expensive. 4*That is because* they cannot cope with the *financial burden* of buying new clothes from stores, such as Prada or Gucci. 4*As a result,* many youngsters buy second-hand clothes. 4*For example,* in the United States, many teenagers buy used Gucci products in order to wear them and be like their idols. | Essay Question: 4*In recent years,* there has been 8*a rise in the popularity of second-hand clothing* amongst the 8*younger generation*. 10*Why is this happening?* 11*Do you think it’s a positive or negative development?* 

Capabilities | Meaning: the ability to do something | Synonyms: abilities; skills; talents | Collocation: their / it's capabilities | Example: The company's *technological capabilities* are impressive.; 4*In conclusion,* many athletes nowadays use illegal substances to win the competition and *exceed their physical capabilities*. 4*However,* it is vital to have fair competition6*, and this can be eradicated by* requiring the athletes to do drug tests and ban them if found guilty. | Essay Question: In many professional sports, 8*there is an increase in the number of athletes using banned substances* to improve their performance. 10*What are the causes of the phenomenon* and 11*what are some of the possible solutions?* | Context:✦ common topics ➜  technology & health; company / software's / AI's capabilities; student / teacher's capabilities

Commonly | Meaning: frequently or usually | Synonyms: often; usually; regularly | Collocation: commonly used | Example: This word is *commonly used* in academic writing.; 4*On the other hand,* television can be a helpful tool in education 8*if people use it in a proper way.* Television can help people to study through informative videos, TV shows, or documents, and those videos can help people form a visual representation of their thoughts. 4*For instance,* it *can commonly be seen* in many schools that teachers introduce TVs in their lectures to help students understand complicated and difficult subjects. 4*For this reason,* this essay believes that 8*television is a useful tool for education*. | Essay Question: Some people say that 8*television is useful for education,* while others say it is 8*useful only for entertainment*. 10*Discuss both views and give your own opinion.* 

Consumption | Meaning: the act of using something | Synonyms: use; usage | Collocation: *energy* consumption; *human* consumption; consumption *of* | Example: Reducing *energy consumption* can help protect the environment.; 4*One benefit of* not eating meat is that 8*animals are being protected*. 4*That is to say,* if more people start opting to eat meals that do not include meat, fewer animals will be tortured and killed. 4*This is because* animals are reproduced, kept in small and uncomfortable places, and then killed and sold to supermarkets and butchers for *human consumption*. 4*For example,* cow’s meat in Argentina is the basis of people’s nutrition6*, so* thousands of cows are reproduced and killed every year just for *human consumption*. 4*However,* I believe that avoiding eating meat will not make a significant difference on animals’ protection. | Essay Question: In some countries, it 8*is becoming increasingly common* for people to follow a 8*vegetarian diet.* 10*Do the advantages of this outweigh the disadvantages?* 

Competence | Meaning: the ability to do something well | Synonyms: ability; skill; proficiency | Collocation: *professional* competence; competence *in* | Example: Her *professional competence* was evident in her excellent work.; By allocating a certain percent of high-level positions to women, companies would reach *a higher competence level.* 4*This is because* a lot of women with the *right competence* are overlooked4*, since* 8*the tradition of male executives* are very strong. Allocated recruitment would result in women with high competence rather than mediocre men in those high-level positions. 4*For example,* an audit of the relative competence level in one of the biggest investment banks in Sweden 6*showed a significant increase* after they decided to allocate at least 40 per cent of their leading positions to women. | Essay Question: 7*Most high-level positions* in companies are 7*filled by men* even though the workforce in many developed countries is more than 50 per cent female. 8*Companies should be required to allocate a certain percentage of these positions to women.* 10*To what extent do you agree?*  

Corruption | Meaning: dishonest or illegal behavior by those in power | Synonyms: dishonesty; fraud; bribery | Collocation: *political* corruption | Example: The investigation revealed *widespread political corruption*.; 4*On the other hand,* publishing details of private affairs *disclose the corruption of* politicians and make them accountable. Many politicians usually hold a public office and are entrusted with managing public funds. 16*If* they do not spend the money on the wellbeing of people and are involved in corruption, newspapers expose their private life and put them under accountability. 4*For example,* when details of the lavish spending of the Mayor of London, while on a vacation, were revealed in the SUN, it prompted questions from many sections of the society, eventually *exposing his corruption with* the public money. 4*Therefore, it is important that* newspapers publish these details. | Essay Question: Details of politicians’ private lives should not be published in newspapers. 10*To what extent do you agree or disagree?*  

Downsides / Drawbacks| Meaning: negative aspects of something | Synonyms: drawbacks; disadvantages; negatives | Collocation: *potential* downsides; *major* downsides | Example: The *potential downsides* of the new policy include increased consts.; *One of the major drawbacks of* this method is its high cost. For example, the budget for a single space mission could potentially fund thousands of schools or hospitals, directly benefiting millions of people.

Deficiency | Meaning: a lack of something needed | Synonyms: lack; shortage; insufficiency | Collocation: *vitamin* deficiency; deficiency *in* | Example: *A vitamin deficiency* can cause health problems.; 4*The main disadvantage of* the vegetarian diet is that without meat people may have *a protein deficiency*. 4*That is to say,* people by nature are omnivorous more than herbivorous6*, and by* avoiding consuming animal products, protein levels will decrease, and this deficiency can have consequences on muscles, bones and immunity system. 6*By following* this type of strict diet in certain religious groups in India4*, for instance,* people might suffer not only from fatigue and bone fractures, but also from disturbance in their immune system. 4*However,* I think that a well-planned diet provides people with all nutrients including enough protein. | Essay Question: In some countries, it 8*is becoming increasingly common* for people to follow a 8*vegetarian diet.* 10*Do the advantages of this outweigh the disadvantages?* 

Embrace | Meaning: to accept something with enthusiasm | Synonyms: accept; welcome; adopt | Collocation: embrace *change* | Example: We need to *embrace change* to stay competitive.; 4*Nowadays,* many people are commuting more than past. 4*This is because* people now can afford travel expenses. 4*There are two main benefits of* traveling such as people 8*can gain knowledge* and *embrace other cultures*. | Essay Question: 8*Today people are traveling more than ever before.* 10*Why is this the case?* 11*What are the benefits of traveling for the traveler?*

Enhance | Meaning: to improve something | Synonyms: improve; boost; increase | Collocation: enhance *performance*; enhanced *by* | Example: The new software will *enhance our performance*.; 4*Moreover*, music, art and drama subjects 8*help students to boost their confidence.* 4*That is because* creative lessons teach students how to perform in front of lots of people and give them a chance to socialize with other students. 4*As a result,* students can realize their real potential and act more confidently. 4*For instance*, many psychologists suggest to students who are struggling with social anxiety to take drama lessons as it helps *to enhance confidence.* | Essay Question: 4*Some say that* music, art and drama are as important as other school subjects, especially at the primary level. 10*Do you agree or disagree?*

Emissions | Meaning: Gases or substances sent out into the air | Synonyms: output | Collocation: *carbon* emissions; *reduce* emissions | Example: Reducing *carbon emissions* is vital to combat climate change.; 4*The main advantage of* having a vegetarian diet is that *carbon emissions can be reduced*. Animal agriculture accounts for a significant portion of carbon footprints because animal feed has to be transported a long way to farmers18*, and* animals release a large amount of carbon dioxide after they eat the feed. 4*For example,* research by the University of Australia found that around 35% of carbon emissions around the world is from animal agriculture6*, and if* everyone eats vegetables, carbon footprint in animal agriculture can be reduced by one third. 4*However,* this essay argues that people may not be able to get nutrients which is available only in meats 6*if* they solely consume vegetables. | Essay Question: In some countries, it 8*is becoming increasingly common* for people to follow a 8*vegetarian diet.* 10*Do the advantages of this* 5*outweigh* 10*the disadvantages?* 

Establishments | Meaning: business or organizations | Synonyms: institutions; organizations; firms | Collocation: *educational* establishments | Example: Universities are important *educational establishments*.; 

Expenditure | Meaning: money spent on something | Synonyms: spending; costs; outlay | Collocation: *government* expenditure; *company* expenditure; *public* expenditure  | Example: *Government expenditure* on healthcare is increasing.; In some corporations, it is mandatory for employees to wear a uniform. The 4*main benefits of* wearing a uniform are that 18*it brings uniformity to the workplace* and 8*helps to increase the output of companies*4*, however,* the increase in *the expenditure of organizations* and monotony among employees are the main drawbacks of compulsory uniforms. | Essay Question: Some companies have uniforms for their staff which must be worn at all times. 10*Discuss the advantages and disadvantages of this.*

Exceed | Meaning: to go beyond a limit, standard, or a number | Synonyms: surpass; go beyond; outdo | Collocation: exceed *expectations*; exceed (a *number*) | Example: The team *managed to exceed expectations* this quarter.; 4*In conclusion,* many athletes nowadays use illegal substances to win the competition and *exceed their physical capabilities*. 4*However,* it is vital to have fair competition18*, and* this can be eradicated by 8*requiring the athletes to do drug tests* and 8*ban them if found guilty*. | Essay Question: In many professional sports, 8*there is an increase in the number of athletes using banned substances* to improve their performance. 10*What are the causes of the phenomenon* and 11*what are some of the possible solutions?*

Harassment | Meaning: aggressive pressure or intimidation | Synonyms: bullying; intimidation; abuse | Collocation: *workspace* harassment; *sexual* harassment | Example: The company has policies to prevent *workspace harassment*.; Politicians are public servants who have taken an oath to serve the citizens of a nation. 4*In a democracy,* politicians are elected on the basis of two important factors 8*– their vision and their values*. 4*While* the vision is communicated by politicians during their campaign, the values can only be depicted through the way they have lived their personal lives. Journalists are trained to investigate all kinds of information. 4*Hence,* for a well-rounded evaluation, it is essential that newspapers give a complete account of the values of a politician through a coverage of their personal lives. 4*For instance,* in 2016, many supporters of Donald Trump lost their trust in him after newspapers uncovered the story of the *sexual harassment* allegations against him. | Essay Question: Details of 8*politicians’ private lives should not be published* in newspapers. 10*To what extent do you agree or disagree?* 

Hence (adverb) | Meaning: for this reason; therefore | Synonyms: *therefore*; thus; so | Collocation: *hence* the need | Example: The project is behind schedule*, hence the need for* extra workers.; 4*On the one hand,* doing sports influences people’s health and well-being enormously. 6*Not only does* it make us stronger and more resilient6*, but it also* trains our cardiovascular systems 5*and, thus,* reduces the chances to die earlier than we could have. 4*In contrast,* those who lead a sedentary lifestyle deprive themselves of these benefits. *Hence*, 6*the more sports facilities* will be available to the public, 6*the more people* could do sports 5*and, thus,* stay healthy. 4*However, I do not agree that* this is the best way to improve public health 6*as* the majority of people either just do not want to or cannot go in for sports because of different reasons. | Essay Question: 4*Some people say that* the best way to improve public health is by increasing the number of sports facilities. 4*Others, however, say that* this would have little effect on public health 8*and that* other measures are required. 10*Discuss both these views and give your own opinion.*  

Informative | Meaning: providing useful information | Synonyms: educational; enlightening; instructive | Example: The lecture was very *informative* and helped me understand the topic better.; 18*Educational programs on television can help children become more intelligent.* Kids who watch *informative* and educational shows learn to solve problems and develop strong mental maths skills. 4*For instance,* several studies have shown that kids are more likely to outperform their peers on tests when they watch educational shows. 4*Additionally,* studies have shown that children who watch cartoons most of the time score less than those who watch educational shows. 4*Therefore,* 5*I strongly believe* educational shows on television encourage intellectual development in children. | Essay Question: Some people say that 8*television is useful for education,* while others say it is 8*useful only for entertainment*. 10*Discuss both views and give your own opinion.* | Context: educational programmes, courses; TV shows; documentary 

Infrastructure | Meaning: the basic systems and structures needed for a society or organization | Synonyms: system | Collocation: *transport* infrastructure; infrastructure *projects* | Example: *Good transport infrastructure* is essential for economic growth.; 4*In conclusion, the advantages of* the prioritizing economic growth above all other concerns are 18*improved quality of life of people* and *good infrastructure*. The disadvantages are 18*unaffordable cost of living* and 18*more environmental damage*. | Essay Question: In many countries, 8*the government prioritizes economic growth above all other concerns*. 10*Discuss the advantages and disadvantages of this.*

Insights | Meaning: understanding or knowledge about something | Synonyms: understandings; perceptions; intuitions | Collocation: *valuable* insights; *provide* insights *into* | Example: The survey *provided valuable insights into* customer preferences.; Lessons at school can *provide children with valuable insights* into being good members of society. 4*In class,* students can receive lessons about 18*different traits of a truly good person* that society needs5*, and then* they put 18*what they learn* into practice by creating real-life problems and solving them together. 4*For instance,* after receiving lessons in civic education at school, many Vietnamese students are more willing to help their neighbors and even strangers5*, and* they feel extremely happy after doing something good for others. 4*For this reason,* 6*I believe that* school lessons are more influential to young children. | Essay Question: Some people think that 8*parents should teach their children how to be good members of society*. Others, however, believe that 8*school is the best place to learn this*. 10*Discuss both views and give your own opinion.* 

Insufficient | Meaning: not enough | Synonyms: inadequate; lacking; deficient | Collocation: insufficient *funds*; insufficient *resources* | Example: The project was cancelled due to *insufficient funds*.; Economic growth is a sphere that receives more attention than any other national domain in many states all over the world. 4*The principal benefits of this phenomenon* 8*are lower unemployment and wealthier citizens*, and 4*the main downsides* are 8*higher costs of living for most* and 8*insufficient support for the poorest*. | Essay Question: In many countries, 8*the government prioritizes economic growth above all other concerns*. 10*Discuss the advantages and disadvantages of this.*  

Innate | Meaning: existing from birth; natural | Synonyms: inborn; inherent; natural | Collocation: innate *ability* | Example: She has *an innate ability* to learn languages quickly.; 4*On the one hand,* children who are gifted with a particular *inborn talent* often achieve their goal early in their lives. 4*This is because* when someone is very good at what they are doing, it usually does not take much effort for them to strive for excellence in that specific area. 4*For instance,* there are many talented singers who have already established a successful singing career before they even become teenagers. 4*However,* 5*I believe that* talent alone does not guarantee success in the long-run, and that a person can only reach the highest level in their profession if they combine *their innate ability* with hard work. | Essay Question: 4*It is generally believed that* some people are born with certain talents, for instance for sport or music, and others are not. 4*However,* 6*it is sometimes claimed that* any child can be taught to become a good sports person or musician. 10*Discuss both these views and give your own opinion.*

Inappropriate | Meaning: not suitable or proper | Synonyms: unsuitable; improper; unfit | Collocation: inappropriate *behavior* | Example: His *inappropriate behavior* in the meeting was not acceptable.; 4*On the other hand,* employees who always wear uniforms might end up wearing *inappropriate clothes* for their work. 4*This is because* they do not have any idea of the specific material or right sizes of the clothes that they should wear at the workplace. 8*Wearing uniforms by employees can also hamper their better performance.* 4*This is mainly because of* making poorly designed work clothes and, this might cause difficulties in work since they find the uniforms constricting their work output. 4*For instance,* flight stewardesses wearing pencil skirts and high heels may look good, but at the same time, it also causes discomfort to them and the passengers. | Essay Question: Some companies have uniforms for their staff which must be worn at all times. 10*Discuss the advantages and disadvantages of this.*

Merit | Meaning: the quality of being good or worthy | Synonyms: worth; value; excellence | Collocation: *academic* merit; on merit | Example: Scholarships are often given based on *academic merit*.; The majority of the chief positions in business organizations are occupied by males6*, despite the fact that* more than half of the workforce in numerous developed nations is made up of women. 6*It is believed that* corporations should be asked to designate a certain portion of high-level roles for females. 6*This essay completely disagrees with this statement* because 8*selecting employees should be based on merit*, and 18*companies need to focus on profit.* | Essay Question: 7*Most high-level positions* in companies are 7*filled by men* even though the workforce in many developed countries is more than 50 per cent female. 8*Companies should be required to allocate a certain percentage of these positions to women.* 10*To what extent do you agree?*

Mediocre | Meaning: not very good; average | Synonyms: average; ordinary; so-so | Collocation: mediocre *performance* | Example: His *performance was mediocre,* not meeting the expectations.; 4*On the other hand,* many people think that anything is achievable in this life through practice and training. 4*That is to say that* it may take extra time and energy for an individual with average potential to harness a skill, but success is possible as long as one has the will, determination and the passion to work for it. 4*For example,* the world is filled with many star athletes who start off as a *mediocre* in the beginning6*, but* they challenge and push themselves to their limit, which ultimately help them to attain the greatest version of themselves. 4*I believe this view point* is more practical because majority of the people are born average, and hard work beats talent in many cases. | Essay Question: 4*It is generally believed that* some people are born with certain talents, for instance for sport or music, and others are not. 4*However,* 6*it is sometimes claimed that* any child can be taught to become a good sports person or musician. 10*Discuss both these views and give your own opinion.* 

